id,comment,territory
1,"A segurança é o maior problema da Gávea. Não dá pra sair de noite sem medo. A gente precisa de mais policiamento nas ruas, principalmente no entorno do Parque da Cidade.",asfalto
2,"O esgoto do beco transborda toda vez que chove. Já reclamamos na prefeitura várias vezes e nada muda. A rua fica intransitável e o cheiro é insuportável.",favela
3,"O posto de saúde fecha cedo e não tem médico suficiente. Quando a gente chega já lotou. Precisamos de atendimento de verdade, não só encaminhamento para o hospital.",favela
4,"A questão da segurança é séria, mas a abordagem policial aqui dentro é violenta. Muito jovem inocente já foi parado, humilhado. Segurança não é só mais polícia.",favela
5,"Moro aqui há 30 anos e o bairro mudou muito. O que mais me preocupa é a falta de manutenção das calçadas e a iluminação precária nas ruas menos movimentadas.",asfalto
6,"A coleta de lixo aqui em cima é irregular. Às vezes passa uma vez por semana, às vezes fica dias sem passar. O lixo acumula e atrai animal, traz doença.",favela
7,"O governo prometeu reforma das vielas há dois anos. Até hoje nada. A gente não acredita mais em promessa de político, a coisa só muda quando a comunidade se organiza.",favela
8,"Sou comerciante aqui na Gávea e o que mais afasta cliente é a sensação de insegurança. Roubos na rua principal aumentaram muito no último ano.",asfalto
9,"O esgoto é o problema número um aqui. Tem valão a céu aberto que existe há décadas. É questão de saúde pública, não só de infraestrutura.",favela
10,"A área verde do Parque da Cidade é um patrimônio que a gente tem orgulho, mas a manutenção é péssima. Trilhas fechadas, lixo acumulado, iluminação quebrada.",asfalto
11,"Aqui em cima quando alguém passa mal de noite é difícil chamar ambulância. O acesso é ruim, a rua é estreita. Já perdemos vizinho por demora no socorro.",favela
12,"O comércio local está fechando. Virou tudo delivery e franquia. Os restaurantes e lojas de bairro que existiam há décadas estão sumindo. O bairro perdeu personalidade.",asfalto
13,"A escola pública aqui é boa, mas falta estrutura. Os professores se esforçam, mas o prédio precisa de reforma, falta material. Minha filha merece mais.",favela
14,"Governança é a palavra que resume tudo. O bairro tem problemas que nunca são resolvidos porque não tem quem coordene, quem cobre, quem fiscalize. Cada um cuida do seu quadrado.",asfalto
15,"O meio ambiente aqui é lindo, mas ninguém cuida. O riacho que passa aqui atrás virou esgoto. Antes tinha peixe, hoje tem espuma.",favela
16,"Tenho orgulho de morar perto da PUC. É uma âncora cultural e social para o bairro. Mas podia ter mais integração com a comunidade ao redor, mais projetos abertos.",asfalto
17,"A mobilidade é um problema sério. O ônibus que sobe até aqui cai à noite muito cedo. Quem não tem carro fica preso.",favela
18,"Segurança para mim é mais do que polícia. É iluminação, é praça bem cuidada, é ter gente na rua. O abandono dos espaços públicos é o que deixa tudo mais perigoso.",asfalto
19,"A saúde mental da comunidade está muito abalada após os últimos eventos de violência. Precisamos de apoio psicológico, não só médico.",favela
20,"A gestão dos resíduos sólidos é um caos. Descarte irregular em terrenos abandonados, entulho nas vias. A prefeitura não fiscaliza e o morador paga o preço.",asfalto
21,"O que mais falta aqui é oportunidade de trabalho dentro do bairro. Os jovens têm que sair pra longe. Quem fica, fica sem perspectiva.",favela
22,"Me preocupa muito a questão ambiental. Os deslizamentos de encosta são um risco real e o poder público não mapeia, não previne, só age depois da tragédia.",favela
23,"A infraestrutura de água é ruim. Corte de água frequente sem aviso, a pressão é baixa. A gente compra água mineral pra beber porque não confia na da torneira.",favela
24,"O maior orgulho da Gávea é a natureza. Mas ela está ameaçada pela ocupação desordenada e pela falta de saneamento. O que a gente vai deixar para os filhos?",asfalto
25,"Falta espaço de lazer gratuito para as crianças aqui dentro. A praça está abandonada, o campinho não tem manutenção. As crianças não têm onde brincar com segurança.",favela
26,"A desigualdade dentro do próprio bairro é gritante. Quem mora no asfalto tem outro mundo. A gente divide o mesmo bairro no nome, mas não na prática.",favela
27,"O comércio poderia ser muito melhor aproveitado com mais apoio à economia local. As feiras, os pequenos produtores, os artesãos. Tudo isso poderia movimentar o bairro.",asfalto
28,"A governança comunitária precisa ser fortalecida. As associações de moradores têm potencial mas precisam de recurso e reconhecimento formal para ter mais poder de negociação.",favela
29,"Quero ver tecnologia sendo usada para resolver problemas reais daqui. Aplicativo de denúncia de irregularidades, mapa de serviços, canal direto com a prefeitura que funcione.",asfalto
30,"Aqui a gente resolve as coisas na raça. Quando o governo não vem, a comunidade faz mutirão. Mas cansa fazer o trabalho do governo de graça eternamente.",favela
